time_seconds,type,message
0.309,"telemetry","packetCounter: 38842 | sampleTimeFine: 10474898 | Roll: -179.51° Pitch: 0.93° Yaw: -179.90° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.42, -0.07, -0.52) deg/s"
0.319,"telemetry","packetCounter: 38843 | sampleTimeFine: 10474998 | Roll: -179.51° Pitch: 0.93° Yaw: -179.90° | Acc: (-0.14, -0.09, -9.81) m/s² | Gyro: (-0.42, -0.45, -0.48) deg/s"
0.331,"vibration","📊 ВИБРАЦИЯ: X=0.0092 Y=0.0075 Z=0.3443 | TOTAL=0.3445 m/s²"
0.331,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.331,"telemetry","packetCounter: 38844 | sampleTimeFine: 10475098 | Roll: -179.52° Pitch: 0.93° Yaw: -179.90° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (0.01, -0.31, -0.17) deg/s"
0.341,"vibration","📊 ВИБРАЦИЯ: X=0.0092 Y=0.0072 Z=0.3443 | TOTAL=0.3445 m/s²"
0.341,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.341,"telemetry","packetCounter: 38845 | sampleTimeFine: 10475198 | Roll: -179.52° Pitch: 0.94° Yaw: -179.90° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (0.12, -0.02, 0.34) deg/s"
0.351,"vibration","📊 ВИБРАЦИЯ: X=0.0092 Y=0.0071 Z=0.3443 | TOTAL=0.3445 m/s²"
0.351,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.351,"telemetry","packetCounter: 38846 | sampleTimeFine: 10475298 | Roll: -179.52° Pitch: 0.94° Yaw: -179.90° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (-0.44, -0.47, -0.43) deg/s"
0.360,"vibration","📊 ВИБРАЦИЯ: X=0.0089 Y=0.0073 Z=0.3443 | TOTAL=0.3445 m/s²"
0.361,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.361,"telemetry","packetCounter: 38847 | sampleTimeFine: 10475398 | Roll: -179.52° Pitch: 0.94° Yaw: -179.89° | Acc: (-0.15, -0.12, -9.81) m/s² | Gyro: (-0.36, -0.42, -0.51) deg/s"
0.371,"vibration","📊 ВИБРАЦИЯ: X=0.0090 Y=0.0073 Z=0.3443 | TOTAL=0.3445 m/s²"
0.371,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.371,"telemetry","packetCounter: 38848 | sampleTimeFine: 10475498 | Roll: -179.52° Pitch: 0.95° Yaw: -179.89° | Acc: (-0.15, -0.11, -9.82) m/s² | Gyro: (-0.54, -0.30, -0.26) deg/s"
0.381,"vibration","📊 ВИБРАЦИЯ: X=0.0089 Y=0.0073 Z=0.3443 | TOTAL=0.3445 m/s²"
0.381,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.381,"telemetry","packetCounter: 38849 | sampleTimeFine: 10475598 | Roll: -179.53° Pitch: 0.94° Yaw: -179.88° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.14, 0.44, -0.85) deg/s"
0.391,"vibration","📊 ВИБРАЦИЯ: X=0.0091 Y=0.0073 Z=0.3443 | TOTAL=0.3445 m/s²"
0.391,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
