elapsed_s,prediction,confidence,p_deformed
14.510,0,0.5395,0.4605
14.610,0,0.5395,0.4605
14.709,0,0.5395,0.4605
14.809,0,0.5395,0.4605
14.909,0,0.9882,0.0118
15.010,0,0.9882,0.0118
15.110,0,0.4693,0.5307
15.210,0,0.5395,0.4605
15.310,0,0.5395,0.4605
15.409,0,0.5395,0.4605
15.510,0,0.7924,0.2076
15.610,0,0.7924,0.2076
15.710,0,0.5395,0.4605
15.809,0,0.5395,0.4605
15.910,0,0.5395,0.4605
16.010,0,0.5395,0.4605
16.110,0,0.5395,0.4605
16.210,0,0.5395,0.4605
16.310,0,0.5395,0.4605
16.410,0,0.5395,0.4605
16.510,0,0.4693,0.5307
16.610,0,0.4693,0.5307
16.709,0,0.4693,0.5307
16.809,0,0.4693,0.5307
16.909,0,0.4693,0.5307
17.009,0,0.4693,0.5307
17.109,0,0.5395,0.4605
17.209,0,0.5395,0.4605
17.310,0,0.5395,0.4605
17.409,0,0.4693,0.5307
17.509,0,0.4693,0.5307
17.609,0,0.5395,0.4605
17.709,0,0.5395,0.4605
17.808,0,0.5395,0.4605
17.909,0,0.5395,0.4605
18.009,0,0.4693,0.5307
18.109,0,0.4693,0.5307
18.209,0,0.5395,0.4605
18.308,0,0.5395,0.4605
18.408,0,0.5395,0.4605
18.508,0,0.5395,0.4605
18.608,0,0.4693,0.5307
18.708,0,0.4693,0.5307
18.809,0,0.5395,0.4605
18.909,0,0.4693,0.5307
19.009,0,0.4693,0.5307
19.109,0,0.4693,0.5307
19.209,0,0.5395,0.4605
19.309,0,0.5395,0.4605
19.409,0,0.5395,0.4605
19.509,0,0.5395,0.4605
19.608,0,0.5395,0.4605
19.709,0,0.4693,0.5307
19.809,0,0.4693,0.5307
19.909,0,0.4693,0.5307
20.009,0,0.4693,0.5307
20.110,0,0.5395,0.4605
20.209,0,0.5395,0.4605
20.309,0,0.5395,0.4605
20.409,0,0.5395,0.4605
20.509,0,0.5395,0.4605
20.609,0,0.4693,0.5307
20.710,0,0.4693,0.5307
20.809,0,0.4693,0.5307
20.909,0,0.4693,0.5307
21.009,0,0.7924,0.2076
21.109,0,0.7924,0.2076
21.209,0,0.7924,0.2076
21.309,0,0.7921,0.2079
21.409,0,0.5395,0.4605
21.509,0,0.5395,0.4605
21.609,0,0.5395,0.4605
21.709,0,0.4693,0.5307
21.809,0,0.4693,0.5307
21.909,0,0.4693,0.5307
22.009,0,0.5395,0.4605
22.109,0,0.5395,0.4605
22.209,0,0.5395,0.4605
22.309,0,0.5395,0.4605
22.409,0,0.4693,0.5307
22.509,0,0.4693,0.5307
22.609,0,0.7924,0.2076
22.709,0,0.5395,0.4605
22.809,0,0.5395,0.4605
22.909,0,0.5395,0.4605
23.009,0,0.5395,0.4605
23.109,0,0.4693,0.5307
23.209,0,0.4693,0.5307
23.309,0,0.4693,0.5307
23.409,0,0.4693,0.5307
23.509,0,0.4693,0.5307
23.609,0,0.4693,0.5307
23.709,0,0.4693,0.5307
23.809,0,0.4693,0.5307
23.910,0,0.4693,0.5307
24.009,0,0.4693,0.5307
24.109,0,0.5395,0.4605
24.209,0,0.5395,0.4605
24.310,0,0.5395,0.4605
24.409,0,0.5395,0.4605
24.508,0,0.5395,0.4605
24.609,0,0.5395,0.4605
24.709,0,0.9882,0.0118
24.809,0,0.9882,0.0118
24.909,0,0.5395,0.4605
25.010,0,0.5395,0.4605
25.109,0,0.5395,0.4605
25.209,0,0.5395,0.4605
25.309,0,0.5395,0.4605
25.409,0,0.4693,0.5307
25.509,0,0.5395,0.4605
25.610,0,0.5395,0.4605
25.708,0,0.5395,0.4605
25.808,0,0.5395,0.4605
25.908,0,0.5395,0.4605
26.008,0,0.9882,0.0118
26.109,0,0.5395,0.4605
26.208,0,0.5395,0.4605
26.308,0,0.5395,0.4605
26.408,0,0.4693,0.5307
26.509,0,0.4693,0.5307
26.608,0,0.4693,0.5307
26.708,0,0.4693,0.5307
26.807,0,0.4693,0.5307
26.908,0,0.4693,0.5307
27.008,0,0.5395,0.4605
27.108,0,0.5395,0.4605
27.208,0,0.5395,0.4605
27.308,0,0.5395,0.4605
27.408,0,0.5395,0.4605
27.508,0,0.5395,0.4605
27.608,0,0.4693,0.5307
27.708,0,0.4693,0.5307
27.808,0,0.4693,0.5307
27.908,0,0.4693,0.5307
28.008,0,0.4693,0.5307
28.109,0,0.4693,0.5307
28.208,0,0.7924,0.2076
28.309,0,0.7924,0.2076
28.408,0,0.7924,0.2076
28.509,0,0.7924,0.2076
28.609,0,0.7924,0.2076
28.707,0,0.7921,0.2079
28.808,0,0.7921,0.2079
28.909,0,0.7924,0.2076
29.009,0,0.7924,0.2076
29.109,0,0.7924,0.2076
29.208,0,0.7924,0.2076
29.309,0,0.7924,0.2076
29.408,0,0.7924,0.2076
29.509,0,0.7924,0.2076
29.609,0,0.7924,0.2076
29.708,0,0.4693,0.5307
29.808,0,0.4693,0.5307
29.908,0,0.5395,0.4605
30.008,0,0.5395,0.4605
30.108,0,0.5395,0.4605
30.209,0,0.5395,0.4605
30.309,0,0.4693,0.5307
30.408,0,0.4693,0.5307
30.509,0,0.5395,0.4605
30.609,0,0.5395,0.4605
30.709,0,0.5395,0.4605
30.809,0,0.5395,0.4605
30.908,0,0.4693,0.5307
31.009,0,0.4693,0.5307
31.108,0,0.5395,0.4605
31.209,0,0.5395,0.4605
31.309,0,0.5395,0.4605
31.409,0,0.5395,0.4605
31.509,0,0.5395,0.4605
31.607,0,0.5395,0.4605
31.709,0,0.9882,0.0118
31.809,0,0.9882,0.0118
31.909,0,0.5395,0.4605
32.009,0,0.9882,0.0118
32.109,0,0.9882,0.0118
32.208,0,0.5395,0.4605
32.309,0,0.5395,0.4605
32.409,0,0.5395,0.4605
32.509,0,0.5395,0.4605
32.609,0,0.5395,0.4605
32.709,0,0.4693,0.5307
32.809,0,0.9882,0.0118
32.909,0,0.9882,0.0118
33.009,0,0.9882,0.0118
33.108,0,0.9882,0.0118
33.209,0,0.9882,0.0118
33.309,0,0.9882,0.0118
33.409,0,0.9882,0.0118
33.509,0,0.9882,0.0118
33.609,0,0.9882,0.0118
33.709,0,0.9882,0.0118
33.809,0,0.9882,0.0118
33.909,0,0.9882,0.0118
34.009,0,0.9882,0.0118
34.109,0,0.9882,0.0118
34.209,0,0.9882,0.0118
34.309,0,0.9882,0.0118
34.409,0,0.9882,0.0118
34.509,0,0.9882,0.0118
34.609,0,0.9882,0.0118
34.708,0,0.9882,0.0118
34.807,0,0.5395,0.4605
34.908,0,0.5395,0.4605
35.008,0,0.5395,0.4605
35.108,0,0.5395,0.4605
