elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
31.610,0,0.5547,0.4605,0.4453
31.710,0,0.5509,0.4605,0.4491
31.810,0,0.5481,0.4605,0.4519
31.910,0,0.5459,0.4605,0.4541
32.010,0,0.5443,0.4605,0.4557
32.110,0,0.6553,0.0118,0.3447
32.210,0,0.7385,0.0118,0.2615
32.310,0,0.6888,0.4605,0.3112
32.410,0,0.6515,0.4605,0.3485
32.510,0,0.6235,0.4605,0.3765
32.610,0,0.6025,0.4605,0.3975
32.710,0,0.5868,0.4605,0.4132
32.810,0,0.5750,0.4605,0.4250
32.910,0,0.5661,0.4605,0.4339
33.010,0,0.5595,0.4605,0.4405
33.110,0,0.6176,0.2079,0.3824
33.210,0,0.5981,0.4605,0.4019
33.310,0,0.5835,0.4605,0.4165
33.410,0,0.5725,0.4605,0.4275
33.510,0,0.6275,0.2076,0.3725
33.610,0,0.6686,0.2079,0.3314
33.710,0,0.6995,0.2079,0.3005
33.810,0,0.7226,0.2079,0.2774
33.910,0,0.7400,0.2079,0.2600
34.010,0,0.7530,0.2079,0.2470
34.109,0,0.7628,0.2079,0.2372
34.210,0,0.7701,0.2079,0.2299
34.310,0,0.7756,0.2079,0.2244
34.410,0,0.7797,0.2079,0.2203
34.510,0,0.7828,0.2079,0.2172
34.610,0,0.7851,0.2079,0.2149
34.710,0,0.7869,0.2079,0.2131
34.810,0,0.7882,0.2079,0.2118
34.910,0,0.7892,0.2079,0.2108
35.010,0,0.7899,0.2079,0.2101
35.110,0,0.7904,0.2079,0.2096
35.210,0,0.7879,0.2196,0.2121
35.310,0,0.6115,0.9180,0.3885
35.410,0,0.4791,0.9180,0.5209
35.510,1,0.6202,0.9180,0.6202
35.609,1,0.6946,0.9180,0.6946
35.709,1,0.7504,0.9180,0.7504
35.809,1,0.5889,0.1044,0.5889
35.909,0,0.5322,0.1044,0.4678
36.009,0,0.6231,0.1044,0.3769
36.109,0,0.6912,0.1044,0.3088
36.209,0,0.7423,0.1044,0.2577
36.309,0,0.7806,0.1044,0.2194
36.409,0,0.8094,0.1044,0.1906
