time_seconds,type,message
0.381,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.381,"telemetry","packetCounter: 61364 | sampleTimeFine: 12739723 | Roll: 178.69° Pitch: 1.59° Yaw: -179.92° | Acc: (-0.38, 0.14, -9.80) m/s² | Gyro: (-0.21, -2.05, -0.63) deg/s"
0.391,"vibration","📊 ВИБРАЦИЯ: X=0.0892 Y=0.0694 Z=0.4009 | TOTAL=0.4165 m/s²"
0.391,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.391,"telemetry","packetCounter: 61365 | sampleTimeFine: 12739823 | Roll: 178.68° Pitch: 1.61° Yaw: -179.92° | Acc: (0.02, 0.15, -9.80) m/s² | Gyro: (-1.08, 0.18, 0.15) deg/s"
0.401,"vibration","📊 ВИБРАЦИЯ: X=0.0903 Y=0.0707 Z=0.4009 | TOTAL=0.4170 m/s²"
0.401,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.402,"telemetry","packetCounter: 61366 | sampleTimeFine: 12739923 | Roll: 178.67° Pitch: 1.62° Yaw: -179.92° | Acc: (-0.27, 0.04, -9.83) m/s² | Gyro: (-0.97, -2.53, -0.19) deg/s"
0.411,"vibration","📊 ВИБРАЦИЯ: X=0.0913 Y=0.0708 Z=0.4009 | TOTAL=0.4172 m/s²"
0.411,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.411,"telemetry","packetCounter: 61367 | sampleTimeFine: 12740023 | Roll: 178.66° Pitch: 1.61° Yaw: -179.92° | Acc: (-0.08, 0.15, -9.81) m/s² | Gyro: (-0.84, 1.90, 0.29) deg/s"
0.421,"vibration","📊 ВИБРАЦИЯ: X=0.0913 Y=0.0712 Z=0.4009 | TOTAL=0.4173 m/s²"
0.421,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.421,"telemetry","packetCounter: 61368 | sampleTimeFine: 12740123 | Roll: 178.66° Pitch: 1.62° Yaw: -179.92° | Acc: (-0.15, 0.08, -9.81) m/s² | Gyro: (-0.49, -2.25, -0.16) deg/s"
0.431,"vibration","📊 ВИБРАЦИЯ: X=0.0913 Y=0.0723 Z=0.4008 | TOTAL=0.4174 m/s²"
0.431,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.431,"telemetry","packetCounter: 61369 | sampleTimeFine: 12740223 | Roll: 178.66° Pitch: 1.61° Yaw: -179.92° | Acc: (-0.18, 0.22, -9.79) m/s² | Gyro: (-0.35, 2.15, 0.07) deg/s"
0.441,"vibration","📊 ВИБРАЦИЯ: X=0.0917 Y=0.0726 Z=0.4009 | TOTAL=0.4176 m/s²"
0.441,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.441,"telemetry","packetCounter: 61370 | sampleTimeFine: 12740323 | Roll: 178.66° Pitch: 1.62° Yaw: -179.92° | Acc: (-0.11, 0.09, -9.83) m/s² | Gyro: (-0.09, -1.79, -0.89) deg/s"
0.451,"vibration","📊 ВИБРАЦИЯ: X=0.0935 Y=0.0731 Z=0.4009 | TOTAL=0.4181 m/s²"
0.451,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.451,"telemetry","packetCounter: 61371 | sampleTimeFine: 12740423 | Roll: 178.65° Pitch: 1.60° Yaw: -179.91° | Acc: (-0.30, 0.19, -9.82) m/s² | Gyro: (-0.68, 2.22, -0.52) deg/s"
0.461,"vibration","📊 ВИБРАЦИЯ: X=0.0950 Y=0.0731 Z=0.4009 | TOTAL=0.4184 m/s²"
0.461,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.461,"telemetry","packetCounter: 61372 | sampleTimeFine: 12740523 | Roll: 178.65° Pitch: 1.61° Yaw: -179.90° | Acc: (-0.05, 0.16, -9.80) m/s² | Gyro: (0.30, -1.48, -0.45) deg/s"
0.471,"vibration","📊 ВИБРАЦИЯ: X=0.0986 Y=0.0732 Z=0.4009 | TOTAL=0.4193 m/s²"
0.471,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.471,"telemetry","packetCounter: 61373 | sampleTimeFine: 12740623 | Roll: 178.64° Pitch: 1.60° Yaw: -179.90° | Acc: (-0.36, 0.12, -9.81) m/s² | Gyro: (-1.38, 1.08, -0.17) deg/s"
0.481,"vibration","📊 ВИБРАЦИЯ: X=0.1009 Y=0.0737 Z=0.4008 | TOTAL=0.4199 m/s²"
0.481,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.481,"telemetry","packetCounter: 61374 | sampleTimeFine: 12740723 | Roll: 178.63° Pitch: 1.62° Yaw: -179.90° | Acc: (-0.02, 0.07, -9.77) m/s² | Gyro: (0.11, -0.41, -0.31) deg/s"
0.491,"vibration","📊 ВИБРАЦИЯ: X=0.1042 Y=0.0743 Z=0.4011 | TOTAL=0.4210 m/s²"
0.491,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.491,"telemetry","packetCounter: 61375 | sampleTimeFine: 12740823 | Roll: 178.62° Pitch: 1.61° Yaw: -179.90° | Acc: (-0.35, 0.07, -9.88) m/s² | Gyro: (-1.92, -0.49, -0.52) deg/s"
0.501,"vibration","📊 ВИБРАЦИЯ: X=0.1091 Y=0.0753 Z=0.4011 | TOTAL=0.4224 m/s²"
0.501,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.501,"telemetry","packetCounter: 61376 | sampleTimeFine: 12740923 | Roll: 178.63° Pitch: 1.62° Yaw: -179.89° | Acc: (0.06, 0.22, -9.78) m/s² | Gyro: (0.32, 0.02, -0.02) deg/s"
0.511,"vibration","📊 ВИБРАЦИЯ: X=0.1101 Y=0.0755 Z=0.4015 | TOTAL=0.4231 m/s²"
0.511,"bar","   ████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.511,"telemetry","packetCounter: 61377 | sampleTimeFine: 12741023 | Roll: 178.62° Pitch: 1.62° Yaw: -179.89° | Acc: (-0.27, 0.09, -9.89) m/s² | Gyro: (-0.97, -0.61, -0.63) deg/s"
0.521,"vibration","📊 ВИБРАЦИЯ: X=0.1104 Y=0.0758 Z=0.0504 | TOTAL=0.1431 m/s²"
0.521,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.521,"telemetry","packetCounter: 61378 | sampleTimeFine: 12741123 | Roll: 178.62° Pitch: 1.61° Yaw: -179.88° | Acc: (-0.06, 0.26, -9.72) m/s² | Gyro: (-0.13, 1.42, -0.35) deg/s"
0.531,"vibration","📊 ВИБРАЦИЯ: X=0.1111 Y=0.0760 Z=0.0502 | TOTAL=0.1436 m/s²"
0.531,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.531,"telemetry","packetCounter: 61379 | sampleTimeFine: 12741223 | Roll: 178.61° Pitch: 1.61° Yaw: -179.87° | Acc: (-0.29, 0.09, -9.84) m/s² | Gyro: (-0.35, -1.02, -0.66) deg/s"
0.541,"vibration","📊 ВИБРАЦИЯ: X=0.1103 Y=0.0764 Z=0.0507 | TOTAL=0.1434 m/s²"
0.541,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.541,"telemetry","packetCounter: 61380 | sampleTimeFine: 12741323 | Roll: 178.61° Pitch: 1.61° Yaw: -179.87° | Acc: (-0.11, 0.23, -9.75) m/s² | Gyro: (-0.89, 0.59, -0.46) deg/s"
0.551,"vibration","📊 ВИБРАЦИЯ: X=0.1105 Y=0.0804 Z=0.0508 | TOTAL=0.1458 m/s²"
0.551,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.551,"telemetry","packetCounter: 61381 | sampleTimeFine: 12741423 | Roll: 178.60° Pitch: 1.62° Yaw: -179.87° | Acc: (-0.22, -0.07, -9.88) m/s² | Gyro: (0.45, -2.42, -0.48) deg/s"
0.561,"vibration","📊 ВИБРАЦИЯ: X=0.1105 Y=0.0809 Z=0.0462 | TOTAL=0.1445 m/s²"
0.561,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.561,"telemetry","packetCounter: 61382 | sampleTimeFine: 12741523 | Roll: 178.60° Pitch: 1.63° Yaw: -179.87° | Acc: (-0.16, 0.20, -9.81) m/s² | Gyro: (-1.55, 0.73, -0.29) deg/s"
0.571,"vibration","📊 ВИБРАЦИЯ: X=0.1105 Y=0.0790 Z=0.0461 | TOTAL=0.1435 m/s²"
0.571,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.571,"telemetry","packetCounter: 61383 | sampleTimeFine: 12741623 | Roll: 178.60° Pitch: 1.64° Yaw: -179.86° | Acc: (-0.14, 0.06, -9.88) m/s² | Gyro: (1.05, -1.92, -0.48) deg/s"
0.581,"vibration","📊 ВИБРАЦИЯ: X=0.1098 Y=0.0799 Z=0.0438 | TOTAL=0.1427 m/s²"
0.581,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.581,"telemetry","packetCounter: 61384 | sampleTimeFine: 12741723 | Roll: 178.60° Pitch: 1.64° Yaw: -179.86° | Acc: (-0.18, 0.26, -9.84) m/s² | Gyro: (-1.79, -0.05, 0.21) deg/s"
0.591,"vibration","📊 ВИБРАЦИЯ: X=0.1106 Y=0.0789 Z=0.0454 | TOTAL=0.1432 m/s²"
0.591,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.591,"telemetry","packetCounter: 61385 | sampleTimeFine: 12741823 | Roll: 178.60° Pitch: 1.67° Yaw: -179.86° | Acc: (-0.07, 0.16, -9.72) m/s² | Gyro: (1.09, -2.73, -0.56) deg/s"
0.601,"vibration","📊 ВИБРАЦИЯ: X=0.1104 Y=0.0774 Z=0.0458 | TOTAL=0.1424 m/s²"
0.601,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.601,"telemetry","packetCounter: 61386 | sampleTimeFine: 12741923 | Roll: 178.58° Pitch: 1.66° Yaw: -179.86° | Acc: (-0.20, 0.14, -9.86) m/s² | Gyro: (-2.20, 0.55, 0.08) deg/s"
0.611,"vibration","📊 ВИБРАЦИЯ: X=0.1101 Y=0.0773 Z=0.0476 | TOTAL=0.1427 m/s²"
0.611,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.611,"telemetry","packetCounter: 61387 | sampleTimeFine: 12742023 | Roll: 178.58° Pitch: 1.67° Yaw: -179.85° | Acc: (-0.11, 0.15, -9.72) m/s² | Gyro: (0.51, -1.41, -0.63) deg/s"
0.621,"vibration","📊 ВИБРАЦИЯ: X=0.1120 Y=0.0787 Z=0.0480 | TOTAL=0.1451 m/s²"
0.621,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.621,"telemetry","packetCounter: 61388 | sampleTimeFine: 12742123 | Roll: 178.57° Pitch: 1.66° Yaw: -179.85° | Acc: (-0.32, 0.03, -9.87) m/s² | Gyro: (-0.97, 1.32, -0.62) deg/s"
0.631,"vibration","📊 ВИБРАЦИЯ: X=0.1116 Y=0.0802 Z=0.0487 | TOTAL=0.1458 m/s²"
0.631,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.631,"telemetry","packetCounter: 61389 | sampleTimeFine: 12742223 | Roll: 178.58° Pitch: 1.67° Yaw: -179.84° | Acc: (-0.09, 0.27, -9.73) m/s² | Gyro: (0.00, -0.56, -0.60) deg/s"
0.643,"vibration","📊 ВИБРАЦИЯ: X=0.1130 Y=0.0806 Z=0.0487 | TOTAL=0.1470 m/s²"
0.643,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.643,"telemetry","packetCounter: 61390 | sampleTimeFine: 12742323 | Roll: 178.56° Pitch: 1.66° Yaw: -179.84° | Acc: (-0.30, 0.02, -9.79) m/s² | Gyro: (-0.96, 1.06, -0.59) deg/s"
0.651,"vibration","📊 ВИБРАЦИЯ: X=0.1143 Y=0.0778 Z=0.0487 | TOTAL=0.1466 m/s²"
0.651,"bar","   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.651,"telemetry","packetCounter: 61391 | sampleTimeFine: 12742423 | Roll: 178.56° Pitch: 1.67° Yaw: -179.84° | Acc: (-0.05, 0.21, -9.79) m/s² | Gyro: (-0.29, -0.64, 0.34) deg/s"
